short_title,title,code or value,description,count
BPAEN1,BPAEN1 - Enhancement used first reading,8,Could not obtain,0
BPAEN1,BPAEN1 - Enhancement used first reading,.,Missing,2274
BPXSY2,BPXSY2 - Systolic: Blood pres (2nd rdg) mm Hg,66 to 230,Range of Values,7409
BPXSY2,BPXSY2 - Systolic: Blood pres (2nd rdg) mm Hg,.,Missing,2404
BPXDI2,BPXDI2 - Diastolic: Blood pres (2nd rdg) mm Hg,0 to 116,Range of Values,7409
BPXDI2,BPXDI2 - Diastolic: Blood pres (2nd rdg) mm Hg,.,Missing,2404
BPAEN2,BPAEN2 - Enhancement used second reading,1,Yes,347
BPAEN2,BPAEN2 - Enhancement used second reading,2,No,7190
BPAEN2,BPAEN2 - Enhancement used second reading,8,Could not obtain,0
BPAEN2,BPAEN2 - Enhancement used second reading,.,Missing,2276
BPXSY3,BPXSY3 - Systolic: Blood pres (3rd rdg) mm Hg,62 to 228,Range of Values,7408
BPXSY3,BPXSY3 - Systolic: Blood pres (3rd rdg) mm Hg,.,Missing,2405
BPXDI3,BPXDI3 - Diastolic: Blood pres (3rd rdg) mm Hg,0 to 118,Range of Values,7408
BPXDI3,BPXDI3 - Diastolic: Blood pres (3rd rdg) mm Hg,.,Missing,2405
BPAEN3,BPAEN3 - Enhancement used third reading,1,Yes,276
BPAEN3,BPAEN3 - Enhancement used third reading,2,No,7261
BPAEN3,BPAEN3 - Enhancement used third reading,8,Could not obtain,0
BPAEN3,BPAEN3 - Enhancement used third reading,.,Missing,2276
BPXSY4,BPXSY4 - Systolic: Blood pres (4th rdg) mm Hg,80 to 212,Range of Values,515
BPXSY4,BPXSY4 - Systolic: Blood pres (4th rdg) mm Hg,.,Missing,9298
BPXDI4,BPXDI4 - Diastolic: Blood pres (4th rdg) mm Hg,0 to 128,Range of Values,515
BPXDI4,BPXDI4 - Diastolic: Blood pres (4th rdg) mm Hg,.,Missing,9298
BPAEN4,BPAEN4 - Enhancement used fourth reading,1,Yes,68
BPAEN4,BPAEN4 - Enhancement used fourth reading,2,No,494
BPAEN4,BPAEN4 - Enhancement used fourth reading,8,Could not obtain,0
BPAEN4,BPAEN4 - Enhancement used fourth reading,.,Missing,9251
BMDSTATS,BMDSTATS - Body Measures Component Status Code,1,Complete data for age group,9003
BMDSTATS,BMDSTATS - Body Measures Component Status Code,2,Partial:  Only height and weight obtained,317
BMDSTATS,BMDSTATS - Body Measures Component Status Code,3,Other partial exam,423
BMDSTATS,BMDSTATS - Body Measures Component Status Code,4,No body measures exam data,70
BMDSTATS,BMDSTATS - Body Measures Component Status Code,.,Missing,0
BMXWT,BMXWT - Weight (kg),3.1 to 222.6,Range of Values,9723
BMXWT,BMXWT - Weight (kg),.,Missing,90
BMIWT,BMIWT - Weight Comment,1,Could not obtain,17
BMIWT,BMIWT - Weight Comment,2,Exceeds capacity,0
BMIWT,BMIWT - Weight Comment,3,Clothing,346
BMIWT,BMIWT - Weight Comment,4,Medical appliance,21
BMIWT,BMIWT - Weight Comment,.,Missing,9429
BMXRECUM,BMXRECUM - Recumbent Length (cm) ,48.6 to 115.1,Range of Values,1065
BMXRECUM,BMXRECUM - Recumbent Length (cm) ,.,Missing,8748
BMIRECUM,BMIRECUM - Recumbent Length Comment,1,Could not obtain,31
BMIRECUM,BMIRECUM - Recumbent Length Comment,2,Exceeds capacity,0
BMIRECUM,BMIRECUM - Recumbent Length Comment,3,Not straight,0
BMIRECUM,BMIRECUM - Recumbent Length Comment,.,Missing,9782
BMXHEAD,BMXHEAD - Head Circumference (cm) ,33.8 to 46.8,Range of Values,229
BMXHEAD,BMXHEAD - Head Circumference (cm) ,.,Missing,9584
BMIHEAD,BMIHEAD - Head Circumference Comment,1,Could not obtain,0
BMIHEAD,BMIHEAD - Head Circumference Comment,.,Missing,9813
BMXHT,BMXHT - Standing Height (cm),79.7 to 202.6,Range of Values,9067
BMXHT,BMXHT - Standing Height (cm),.,Missing,746
BMIHT,BMIHT - Standing Height Comment,1,Could not obtain,39
BMIHT,BMIHT - Standing Height Comment,2,Exceeds capacity,0
BMIHT,BMIHT - Standing Height Comment,3,Not straight,182
BMIHT,BMIHT - Standing Height Comment,.,Missing,9592
BMXBMI,BMXBMI - Body Mass Index (kg/m**2),12.1 to 82.9,Range of Values,9055
BMXBMI,BMXBMI - Body Mass Index (kg/m**2),.,Missing,758
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,1,Underweight,132
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,2,Normal weight,2167
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,3,Overweight,595
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,4,Obese,629
BMDBMIC,BMDBMIC - BMI Category - Children/Youth,.,Missing,6290
BMXLEG,BMXLEG - Upper Leg Length (cm),24.4 to 51.9,Range of Values,7402
BMXLEG,BMXLEG - Upper Leg Length (cm),.,Missing,2411
BMILEG,BMILEG - Upper Leg Length Comment,1,Could not obtain,350
BMILEG,BMILEG - Upper Leg Length Comment,.,Missing,9463
BMXARML,BMXARML - Upper Arm Length (cm),9.9 to 47.9,Range of Values,9301
BMXARML,BMXARML - Upper Arm Length (cm),.,Missing,512
BMIARML,BMIARML - Upper Arm Length Comment,1,Could not obtain,368
BMIARML,BMIARML - Upper Arm Length Comment,.,Missing,9445
BMXARMC,BMXARMC - Arm Circumference (cm),10.4 to 59.4,Range of Values,9301
BMXARMC,BMXARMC - Arm Circumference (cm),.,Missing,512
BMIARMC,BMIARMC - Arm Circumference Comment,1,Could not obtain,372
BMIARMC,BMIARMC - Arm Circumference Comment,.,Missing,9441
BMXWAIST,BMXWAIST - Waist Circumference (cm),40.2 to 177.9,Range of Values,8661
BMXWAIST,BMXWAIST - Waist Circumference (cm),.,Missing,1152
BMIWAIST,BMIWAIST - Waist Circumference Comment,1,Could not obtain,439
BMIWAIST,BMIWAIST - Waist Circumference Comment,.,Missing,9374
BMXSAD1,BMXSAD1 - Sagittal Abdominal Diameter 1st (cm),10 to 40.2,Range of Values,7218
BMXSAD1,BMXSAD1 - Sagittal Abdominal Diameter 1st (cm),.,Missing,2595
BMXSAD2,BMXSAD2 - Sagittal Abdominal Diameter 2nd (cm),10.2 to 40.2,Range of Values,7218
BMXSAD2,BMXSAD2 - Sagittal Abdominal Diameter 2nd (cm),.,Missing,2595
BMXSAD3,BMXSAD3 - Sagittal Abdominal Diameter 3rd (cm),10.9 to 35.6,Range of Values,358
BMXSAD3,BMXSAD3 - Sagittal Abdominal Diameter 3rd (cm),.,Missing,9455
BMXSAD4,BMXSAD4 - Sagittal Abdominal Diameter 4th (cm),11 to 35.6,Range of Values,358
BMXSAD4,BMXSAD4 - Sagittal Abdominal Diameter 4th (cm),.,Missing,9455
BMDAVSAD,BMDAVSAD - Average Sagittal Abdominal Diameter (cm),10.1 to 40.1,Range of Values,7218
BMDAVSAD,BMDAVSAD - Average Sagittal Abdominal Diameter (cm),.,Missing,2595
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,1,Could not obtain,444
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,2,SP unable to comply with exam instruction,19
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,3,SP discomfort,1
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,4,Use of positioning cushion,16
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,5,Other,4
BMDSADCM,BMDSADCM - Sagittal Abdominal Diameter Comment,.,Missing,9329
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,1,Complete,8633
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,2,Partial,333
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,3,Not Done,456
OHDEXSTS,OHDEXSTS - Overall Oral Health Exam Status,.,Missing,0
OHDDESTS,OHDDESTS - Dentition Status Code,1,Complete,8964
OHDDESTS,OHDDESTS - Dentition Status Code,2,Partial,2
OHDDESTS,OHDDESTS - Dentition Status Code,3,Not Done,456
OHDDESTS,OHDDESTS - Dentition Status Code,.,Missing,0
OHXIMP,OHXIMP - Dental Implant: yes / no? ,1,Yes,142
OHXIMP,OHXIMP - Dental Implant: yes / no? ,2,No,4177
OHXIMP,OHXIMP - Dental Implant: yes / no? ,.,Missing,5103
OHX01TC,OHX01TC - Tooth Count:  #1,1,Primary tooth (deciduous) present,0
OHX01TC,OHX01TC - Tooth Count:  #1,2,Permanent tooth present,1339
OHX01TC,OHX01TC - Tooth Count:  #1,3,Dental implant,0
OHX01TC,OHX01TC - Tooth Count:  #1,4,Tooth not present,7578
OHX01TC,OHX01TC - Tooth Count:  #1,5,Permanent dental root fragment present,51
OHX01TC,OHX01TC - Tooth Count:  #1,9,Could not assess,0
OHX01TC,OHX01TC - Tooth Count:  #1,.,Missing,454
OHX02TC,OHX02TC - Tooth Count:  #2,1,Primary tooth (deciduous) present,0
OHX02TC,OHX02TC - Tooth Count:  #2,2,Permanent tooth present,5037
OHX02TC,OHX02TC - Tooth Count:  #2,3,Dental implant,6
OHX02TC,OHX02TC - Tooth Count:  #2,4,Tooth not present,3844
OHX02TC,OHX02TC - Tooth Count:  #2,5,Permanent dental root fragment present,81
OHX02TC,OHX02TC - Tooth Count:  #2,9,Could not assess,0
OHX02TC,OHX02TC - Tooth Count:  #2,.,Missing,454
OHX03TC,OHX03TC - Tooth Count:  #3,1,Primary tooth (deciduous) present,0
OHX03TC,OHX03TC - Tooth Count:  #3,2,Permanent tooth present,6221
OHX03TC,OHX03TC - Tooth Count:  #3,3,Dental implant,16
OHX03TC,OHX03TC - Tooth Count:  #3,4,Tooth not present,2612
OHX03TC,OHX03TC - Tooth Count:  #3,5,Permanent dental root fragment present,119
OHX03TC,OHX03TC - Tooth Count:  #3,9,Could not assess,0
OHX03TC,OHX03TC - Tooth Count:  #3,.,Missing,454
OHX04TC,OHX04TC - Tooth Count:  #4,1,Primary tooth (deciduous) present,1878
OHX04TC,OHX04TC - Tooth Count:  #4,2,Permanent tooth present,5439
OHX04TC,OHX04TC - Tooth Count:  #4,3,Dental implant,14
OHX04TC,OHX04TC - Tooth Count:  #4,4,Tooth not present,1542
OHX04TC,OHX04TC - Tooth Count:  #4,5,Permanent dental root fragment present,95
OHX04TC,OHX04TC - Tooth Count:  #4,9,Could not assess,0
OHX04TC,OHX04TC - Tooth Count:  #4,.,Missing,454
OHX05TC,OHX05TC - Tooth Count:  #5,1,Primary tooth (deciduous) present,1875
OHX05TC,OHX05TC - Tooth Count:  #5,2,Permanent tooth present,5436
OHX05TC,OHX05TC - Tooth Count:  #5,3,Dental implant,11
OHX05TC,OHX05TC - Tooth Count:  #5,4,Tooth not present,1542
OHX05TC,OHX05TC - Tooth Count:  #5,5,Permanent dental root fragment present,104
OHX05TC,OHX05TC - Tooth Count:  #5,9,Could not assess,0
OHX05TC,OHX05TC - Tooth Count:  #5,.,Missing,454
OHX06TC,OHX06TC - Tooth Count:  #6,1,Primary tooth (deciduous) present,1982
OHX06TC,OHX06TC - Tooth Count:  #6,2,Permanent tooth present,5934
OHX06TC,OHX06TC - Tooth Count:  #6,3,Dental implant,6
OHX06TC,OHX06TC - Tooth Count:  #6,4,Tooth not present,980
OHX06TC,OHX06TC - Tooth Count:  #6,5,Permanent dental root fragment present,66
OHX06TC,OHX06TC - Tooth Count:  #6,9,Could not assess,0
OHX06TC,OHX06TC - Tooth Count:  #6,.,Missing,454
OHX07TC,OHX07TC - Tooth Count:  #7,1,Primary tooth (deciduous) present,1438
OHX07TC,OHX07TC - Tooth Count:  #7,2,Permanent tooth present,6391
OHX07TC,OHX07TC - Tooth Count:  #7,3,Dental implant,13
OHX07TC,OHX07TC - Tooth Count:  #7,4,Tooth not present,1051
OHX07TC,OHX07TC - Tooth Count:  #7,5,Permanent dental root fragment present,75
OHX07TC,OHX07TC - Tooth Count:  #7,9,Could not assess,0
OHX07TC,OHX07TC - Tooth Count:  #7,.,Missing,454
OHX08TC,OHX08TC - Tooth Count:  #8,1,Primary tooth (deciduous) present,1253
OHX08TC,OHX08TC - Tooth Count:  #8,2,Permanent tooth present,6648
OHX08TC,OHX08TC - Tooth Count:  #8,3,Dental implant,9
OHX08TC,OHX08TC - Tooth Count:  #8,4,Tooth not present,1004
OHX08TC,OHX08TC - Tooth Count:  #8,5,Permanent dental root fragment present,54
OHX08TC,OHX08TC - Tooth Count:  #8,9,Could not assess,0
OHX08TC,OHX08TC - Tooth Count:  #8,.,Missing,454
OHX09TC,OHX09TC - Tooth Count:  #9,1,Primary tooth (deciduous) present,1238
OHX09TC,OHX09TC - Tooth Count:  #9,2,Permanent tooth present,6666
OHX09TC,OHX09TC - Tooth Count:  #9,3,Dental implant,15
OHX09TC,OHX09TC - Tooth Count:  #9,4,Tooth not present,990
OHX09TC,OHX09TC - Tooth Count:  #9,5,Permanent dental root fragment present,59
OHX09TC,OHX09TC - Tooth Count:  #9,9,Could not assess,0
OHX09TC,OHX09TC - Tooth Count:  #9,.,Missing,454
OHX10TC,OHX10TC - Tooth Count:  #10,1,Primary tooth (deciduous) present,1426
OHX10TC,OHX10TC - Tooth Count:  #10,2,Permanent tooth present,6415
OHX10TC,OHX10TC - Tooth Count:  #10,3,Dental implant,6
OHX10TC,OHX10TC - Tooth Count:  #10,4,Tooth not present,1048
OHX10TC,OHX10TC - Tooth Count:  #10,5,Permanent dental root fragment present,73
OHX10TC,OHX10TC - Tooth Count:  #10,9,Could not assess,0
OHX10TC,OHX10TC - Tooth Count:  #10,.,Missing,454
OHX11TC,OHX11TC - Tooth Count:  #11,1,Primary tooth (deciduous) present,1991
OHX11TC,OHX11TC - Tooth Count:  #11,2,Permanent tooth present,5942
OHX11TC,OHX11TC - Tooth Count:  #11,3,Dental implant,10
OHX11TC,OHX11TC - Tooth Count:  #11,4,Tooth not present,946
OHX11TC,OHX11TC - Tooth Count:  #11,5,Permanent dental root fragment present,79
OHX11TC,OHX11TC - Tooth Count:  #11,9,Could not assess,0
OHX11TC,OHX11TC - Tooth Count:  #11,.,Missing,454
OHX12TC,OHX12TC - Tooth Count:  #12,1,Primary tooth (deciduous) present,1885
OHX12TC,OHX12TC - Tooth Count:  #12,2,Permanent tooth present,5422
OHX12TC,OHX12TC - Tooth Count:  #12,3,Dental implant,11
OHX12TC,OHX12TC - Tooth Count:  #12,4,Tooth not present,1531
OHX12TC,OHX12TC - Tooth Count:  #12,5,Permanent dental root fragment present,119
OHX12TC,OHX12TC - Tooth Count:  #12,9,Could not assess,0
OHX12TC,OHX12TC - Tooth Count:  #12,.,Missing,454
OHX13TC,OHX13TC - Tooth Count:  #13,1,Primary tooth (deciduous) present,1889
OHX13TC,OHX13TC - Tooth Count:  #13,2,Permanent tooth present,5406
OHX13TC,OHX13TC - Tooth Count:  #13,3,Dental implant,14
OHX13TC,OHX13TC - Tooth Count:  #13,4,Tooth not present,1536
OHX13TC,OHX13TC - Tooth Count:  #13,5,Permanent dental root fragment present,123
OHX13TC,OHX13TC - Tooth Count:  #13,9,Could not assess,0
OHX13TC,OHX13TC - Tooth Count:  #13,.,Missing,454
OHX14TC,OHX14TC - Tooth Count:  #14,1,Primary tooth (deciduous) present,0
OHX14TC,OHX14TC - Tooth Count:  #14,2,Permanent tooth present,6235
OHX14TC,OHX14TC - Tooth Count:  #14,3,Dental implant,16
OHX14TC,OHX14TC - Tooth Count:  #14,4,Tooth not present,2603
OHX14TC,OHX14TC - Tooth Count:  #14,5,Permanent dental root fragment present,114
OHX14TC,OHX14TC - Tooth Count:  #14,9,Could not assess,0
OHX14TC,OHX14TC - Tooth Count:  #14,.,Missing,454
OHX15TC,OHX15TC - Tooth Count:  #15,1,Primary tooth (deciduous) present,0
OHX15TC,OHX15TC - Tooth Count:  #15,2,Permanent tooth present,5025
OHX15TC,OHX15TC - Tooth Count:  #15,3,Dental implant,3
OHX15TC,OHX15TC - Tooth Count:  #15,4,Tooth not present,3844
OHX15TC,OHX15TC - Tooth Count:  #15,5,Permanent dental root fragment present,96
OHX15TC,OHX15TC - Tooth Count:  #15,9,Could not assess,0
OHX15TC,OHX15TC - Tooth Count:  #15,.,Missing,454
OHX16TC,OHX16TC - Tooth Count:  #16,1,Primary tooth (deciduous) present,0
OHX16TC,OHX16TC - Tooth Count:  #16,2,Permanent tooth present,1321
OHX16TC,OHX16TC - Tooth Count:  #16,3,Dental implant,0
OHX16TC,OHX16TC - Tooth Count:  #16,4,Tooth not present,7596
OHX16TC,OHX16TC - Tooth Count:  #16,5,Permanent dental root fragment present,51
OHX16TC,OHX16TC - Tooth Count:  #16,9,Could not assess,0
OHX16TC,OHX16TC - Tooth Count:  #16,.,Missing,454
OHX17TC,OHX17TC - Tooth Count:  #17,1,Primary tooth (deciduous) present,0
OHX17TC,OHX17TC - Tooth Count:  #17,2,Permanent tooth present,1516
OHX17TC,OHX17TC - Tooth Count:  #17,3,Dental implant,0
OHX17TC,OHX17TC - Tooth Count:  #17,4,Tooth not present,7387
OHX17TC,OHX17TC - Tooth Count:  #17,5,Permanent dental root fragment present,65
OHX17TC,OHX17TC - Tooth Count:  #17,9,Could not assess,0
OHX17TC,OHX17TC - Tooth Count:  #17,.,Missing,454
OHX18TC,OHX18TC - Tooth Count:  #18,1,Primary tooth (deciduous) present,0
OHX18TC,OHX18TC - Tooth Count:  #18,2,Permanent tooth present,4943
OHX18TC,OHX18TC - Tooth Count:  #18,3,Dental implant,10
OHX18TC,OHX18TC - Tooth Count:  #18,4,Tooth not present,3919
OHX18TC,OHX18TC - Tooth Count:  #18,5,Permanent dental root fragment present,96
OHX18TC,OHX18TC - Tooth Count:  #18,9,Could not assess,0
OHX18TC,OHX18TC - Tooth Count:  #18,.,Missing,454
OHX19TC,OHX19TC - Tooth Count:  #19,1,Primary tooth (deciduous) present,0
OHX19TC,OHX19TC - Tooth Count:  #19,2,Permanent tooth present,5927
OHX19TC,OHX19TC - Tooth Count:  #19,3,Dental implant,32
OHX19TC,OHX19TC - Tooth Count:  #19,4,Tooth not present,2886
OHX19TC,OHX19TC - Tooth Count:  #19,5,Permanent dental root fragment present,123
OHX19TC,OHX19TC - Tooth Count:  #19,9,Could not assess,0
OHX19TC,OHX19TC - Tooth Count:  #19,.,Missing,454
OHX20TC,OHX20TC - Tooth Count:  #20,1,Primary tooth (deciduous) present,1894
OHX20TC,OHX20TC - Tooth Count:  #20,2,Permanent tooth present,5710
OHX20TC,OHX20TC - Tooth Count:  #20,3,Dental implant,8
OHX20TC,OHX20TC - Tooth Count:  #20,4,Tooth not present,1265
OHX20TC,OHX20TC - Tooth Count:  #20,5,Permanent dental root fragment present,91
OHX20TC,OHX20TC - Tooth Count:  #20,9,Could not assess,0
OHX20TC,OHX20TC - Tooth Count:  #20,.,Missing,454
OHX21TC,OHX21TC - Tooth Count:  #21,1,Primary tooth (deciduous) present,1867
OHX21TC,OHX21TC - Tooth Count:  #21,2,Permanent tooth present,5984
OHX21TC,OHX21TC - Tooth Count:  #21,3,Dental implant,6
OHX21TC,OHX21TC - Tooth Count:  #21,4,Tooth not present,1052
OHX21TC,OHX21TC - Tooth Count:  #21,5,Permanent dental root fragment present,59
OHX21TC,OHX21TC - Tooth Count:  #21,9,Could not assess,0
OHX21TC,OHX21TC - Tooth Count:  #21,.,Missing,454
OHX22TC,OHX22TC - Tooth Count:  #22,1,Primary tooth (deciduous) present,1813
OHX22TC,OHX22TC - Tooth Count:  #22,2,Permanent tooth present,6464
OHX22TC,OHX22TC - Tooth Count:  #22,3,Dental implant,8
OHX22TC,OHX22TC - Tooth Count:  #22,4,Tooth not present,650
OHX22TC,OHX22TC - Tooth Count:  #22,5,Permanent dental root fragment present,33
OHX22TC,OHX22TC - Tooth Count:  #22,9,Could not assess,0
OHX22TC,OHX22TC - Tooth Count:  #22,.,Missing,454
OHX23TC,OHX23TC - Tooth Count:  #23,1,Primary tooth (deciduous) present,1286
OHX23TC,OHX23TC - Tooth Count:  #23,2,Permanent tooth present,7012
OHX23TC,OHX23TC - Tooth Count:  #23,3,Dental implant,5
OHX23TC,OHX23TC - Tooth Count:  #23,4,Tooth not present,644
OHX23TC,OHX23TC - Tooth Count:  #23,5,Permanent dental root fragment present,21
OHX23TC,OHX23TC - Tooth Count:  #23,9,Could not assess,0
OHX23TC,OHX23TC - Tooth Count:  #23,.,Missing,454
OHX24TC,OHX24TC - Tooth Count:  #24,1,Primary tooth (deciduous) present,1097
OHX24TC,OHX24TC - Tooth Count:  #24,2,Permanent tooth present,7206
OHX24TC,OHX24TC - Tooth Count:  #24,3,Dental implant,1
OHX24TC,OHX24TC - Tooth Count:  #24,4,Tooth not present,648
OHX24TC,OHX24TC - Tooth Count:  #24,5,Permanent dental root fragment present,16
OHX24TC,OHX24TC - Tooth Count:  #24,9,Could not assess,0
OHX24TC,OHX24TC - Tooth Count:  #24,.,Missing,454
OHX25TC,OHX25TC - Tooth Count:  #25,1,Primary tooth (deciduous) present,1104
OHX25TC,OHX25TC - Tooth Count:  #25,2,Permanent tooth present,7189
OHX25TC,OHX25TC - Tooth Count:  #25,3,Dental implant,3
OHX25TC,OHX25TC - Tooth Count:  #25,4,Tooth not present,651
OHX25TC,OHX25TC - Tooth Count:  #25,5,Permanent dental root fragment present,21
OHX25TC,OHX25TC - Tooth Count:  #25,9,Could not assess,0
OHX25TC,OHX25TC - Tooth Count:  #25,.,Missing,454
OHX26TC,OHX26TC - Tooth Count:  #26,1,Primary tooth (deciduous) present,1286
OHX26TC,OHX26TC - Tooth Count:  #26,2,Permanent tooth present,6995
OHX26TC,OHX26TC - Tooth Count:  #26,3,Dental implant,4
OHX26TC,OHX26TC - Tooth Count:  #26,4,Tooth not present,658
OHX26TC,OHX26TC - Tooth Count:  #26,5,Permanent dental root fragment present,25
OHX26TC,OHX26TC - Tooth Count:  #26,9,Could not assess,0
OHX26TC,OHX26TC - Tooth Count:  #26,.,Missing,454
OHX27TC,OHX27TC - Tooth Count:  #27,1,Primary tooth (deciduous) present,1807
OHX27TC,OHX27TC - Tooth Count:  #27,2,Permanent tooth present,6467
OHX27TC,OHX27TC - Tooth Count:  #27,3,Dental implant,10
OHX27TC,OHX27TC - Tooth Count:  #27,4,Tooth not present,648
OHX27TC,OHX27TC - Tooth Count:  #27,5,Permanent dental root fragment present,36
OHX27TC,OHX27TC - Tooth Count:  #27,9,Could not assess,0
OHX27TC,OHX27TC - Tooth Count:  #27,.,Missing,454
OHX28TC,OHX28TC - Tooth Count:  #28,1,Primary tooth (deciduous) present,1865
OHX28TC,OHX28TC - Tooth Count:  #28,2,Permanent tooth present,5995
OHX28TC,OHX28TC - Tooth Count:  #28,3,Dental implant,7
OHX28TC,OHX28TC - Tooth Count:  #28,4,Tooth not present,1037
OHX28TC,OHX28TC - Tooth Count:  #28,5,Permanent dental root fragment present,64
OHX28TC,OHX28TC - Tooth Count:  #28,9,Could not assess,0
OHX28TC,OHX28TC - Tooth Count:  #28,.,Missing,454
OHX29TC,OHX29TC - Tooth Count:  #29,1,Primary tooth (deciduous) present,1873
OHX29TC,OHX29TC - Tooth Count:  #29,2,Permanent tooth present,5723
OHX29TC,OHX29TC - Tooth Count:  #29,3,Dental implant,12
OHX29TC,OHX29TC - Tooth Count:  #29,4,Tooth not present,1272
OHX29TC,OHX29TC - Tooth Count:  #29,5,Permanent dental root fragment present,88
OHX29TC,OHX29TC - Tooth Count:  #29,9,Could not assess,0
OHX29TC,OHX29TC - Tooth Count:  #29,.,Missing,454
OHX30TC,OHX30TC - Tooth Count:  #30,1,Primary tooth (deciduous) present,0
OHX30TC,OHX30TC - Tooth Count:  #30,2,Permanent tooth present,5961
OHX30TC,OHX30TC - Tooth Count:  #30,3,Dental implant,24
OHX30TC,OHX30TC - Tooth Count:  #30,4,Tooth not present,2857
OHX30TC,OHX30TC - Tooth Count:  #30,5,Permanent dental root fragment present,126
OHX30TC,OHX30TC - Tooth Count:  #30,9,Could not assess,0
OHX30TC,OHX30TC - Tooth Count:  #30,.,Missing,454
OHX31TC,OHX31TC - Tooth Count:  #31,1,Primary tooth (deciduous) present,0
