short_title,title,code or value,description,count
CKQ010  ,CKQ010   - Strenuous exercise in the past 3 days?,1,Yes,2060
CKQ010  ,CKQ010   - Strenuous exercise in the past 3 days?,2,No,4393
CKQ010  ,CKQ010   - Strenuous exercise in the past 3 days?,7,Refused,0
CKQ010  ,CKQ010   - Strenuous exercise in the past 3 days?,9,Don't know,2
CKQ010  ,CKQ010   - Strenuous exercise in the past 3 days?,.,Missing,524
CKQ020  ,CKQ020   - Did exercise make muscles sore/painful,1,Yes,1166
CKQ020  ,CKQ020   - Did exercise make muscles sore/painful,2,No,893
CKQ020  ,CKQ020   - Did exercise make muscles sore/painful,7,Refused,0
CKQ020  ,CKQ020   - Did exercise make muscles sore/painful,9,Don't know,1
CKQ020  ,CKQ020   - Did exercise make muscles sore/painful,.,Missing,4919
CKQ030  ,"CKQ030   - Past 3 days muscle injury, bruise, injct",1,Yes,430
CKQ030  ,"CKQ030   - Past 3 days muscle injury, bruise, injct",2,No,6021
CKQ030  ,"CKQ030   - Past 3 days muscle injury, bruise, injct",7,Refused,0
CKQ030  ,"CKQ030   - Past 3 days muscle injury, bruise, injct",9,Don't know,4
CKQ030  ,"CKQ030   - Past 3 days muscle injury, bruise, injct",.,Missing,524
CKQ040  ,CKQ040   - Injury/injct made muscles sore/painful ,1,Yes,269
CKQ040  ,CKQ040   - Injury/injct made muscles sore/painful ,2,No,161
CKQ040  ,CKQ040   - Injury/injct made muscles sore/painful ,7,Refused,0
CKQ040  ,CKQ040   - Injury/injct made muscles sore/painful ,9,Don't know,0
CKQ040  ,CKQ040   - Injury/injct made muscles sore/painful ,.,Missing,6549
CKD060  ,CKD060   - Other muscle pain/soreness last 3 days,1,Yes,1371
CKD060  ,CKD060   - Other muscle pain/soreness last 3 days,2,No,5081
CKD060  ,CKD060   - Other muscle pain/soreness last 3 days,7,Refused,0
CKD060  ,CKD060   - Other muscle pain/soreness last 3 days,9,Don't know,3
CKD060  ,CKD060   - Other muscle pain/soreness last 3 days,.,Missing,524
CKQ070Q ,CKQ070Q  - Quantity: how long pain/aching/soreness,1 to 200,Range of Values,1364
CKQ070Q ,CKQ070Q  - Quantity: how long pain/aching/soreness,77777,Refused,0
CKQ070Q ,CKQ070Q  - Quantity: how long pain/aching/soreness,99999,Don't know,6
CKQ070Q ,CKQ070Q  - Quantity: how long pain/aching/soreness,.,Missing,5609
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,1,Days,375
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,2,Weeks,142
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,3,Months,244
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,4,Years,603
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,7,Refused,0
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,9,Don't know,0
CKQ070U ,CKQ070U  - Unit: how long pain/aching/soreness,.,Missing,5615
HSD010,HSD010 - General health condition,1,Excellent,641
HSD010,HSD010 - General health condition,2,"Very good,",1826
HSD010,HSD010 - General health condition,3,"Good,",2605
HSD010,HSD010 - General health condition,4,"Fair, or",1186
HSD010,HSD010 - General health condition,5,Poor?,208
HSD010,HSD010 - General health condition,7,Refused,0
HSD010,HSD010 - General health condition,9,Don't know,1
HSD010,HSD010 - General health condition,.,Missing,2955
HSQ500  ,HSQ500   - SP have head cold or chest cold,1,Yes,1538
HSQ500  ,HSQ500   - SP have head cold or chest cold,2,No,6921
HSQ500  ,HSQ500   - SP have head cold or chest cold,7,Refused,3
HSQ500  ,HSQ500   - SP have head cold or chest cold,9,Don't know,13
HSQ500  ,HSQ500   - SP have head cold or chest cold,.,Missing,947
HSQ510  ,HSQ510   - SP have stomach or intestinal illness?,1,Yes,627
HSQ510  ,HSQ510   - SP have stomach or intestinal illness?,2,No,7833
HSQ510  ,HSQ510   - SP have stomach or intestinal illness?,7,Refused,3
HSQ510  ,HSQ510   - SP have stomach or intestinal illness?,9,Don't know,12
HSQ510  ,HSQ510   - SP have stomach or intestinal illness?,.,Missing,947
HSQ520  ,"HSQ520   - SP have flu, pneumonia, ear infection?",1,Yes,339
HSQ520  ,"HSQ520   - SP have flu, pneumonia, ear infection?",2,No,8111
HSQ520  ,"HSQ520   - SP have flu, pneumonia, ear infection?",7,Refused,3
HSQ520  ,"HSQ520   - SP have flu, pneumonia, ear infection?",9,Don't know,22
HSQ520  ,"HSQ520   - SP have flu, pneumonia, ear infection?",.,Missing,947
HSQ571  ,HSQ571   - SP donated blood in past 12 months?,1,Yes,260
HSQ571  ,HSQ571   - SP donated blood in past 12 months?,2,No,5505
HSQ571  ,HSQ571   - SP donated blood in past 12 months?,7,Refused,0
HSQ571  ,HSQ571   - SP donated blood in past 12 months?,9,Don't know,4
HSQ571  ,HSQ571   - SP donated blood in past 12 months?,.,Missing,3653
HSQ580  ,HSQ580   - How long ago was last blood donation?,1,1,39
HSQ580  ,HSQ580   - How long ago was last blood donation?,2,2,38
HSQ580  ,HSQ580   - How long ago was last blood donation?,3,3,28
HSQ580  ,HSQ580   - How long ago was last blood donation?,4,4,20
HSQ580  ,HSQ580   - How long ago was last blood donation?,5,5,13
HSQ580  ,HSQ580   - How long ago was last blood donation?,6,6,29
HSQ580  ,HSQ580   - How long ago was last blood donation?,7,7,19
HSQ580  ,HSQ580   - How long ago was last blood donation?,8,8,11
HSQ580  ,HSQ580   - How long ago was last blood donation?,9,9,11
HSQ580  ,HSQ580   - How long ago was last blood donation?,10,10,13
HSQ580  ,HSQ580   - How long ago was last blood donation?,11,11,17
HSQ580  ,HSQ580   - How long ago was last blood donation?,12,12,18
HSQ580  ,HSQ580   - How long ago was last blood donation?,77,Refused,0
HSQ580  ,HSQ580   - How long ago was last blood donation?,99,Don't know,4
HSQ580  ,HSQ580   - How long ago was last blood donation?,.,Missing,9162
HSQ590  ,HSQ590   - Blood ever tested for HIV virus?,1,Yes,1884
HSQ590  ,HSQ590   - Blood ever tested for HIV virus?,2,No,3596
HSQ590  ,HSQ590   - Blood ever tested for HIV virus?,7,Refused,2
HSQ590  ,HSQ590   - Blood ever tested for HIV virus?,9,Don't know,286
HSQ590  ,HSQ590   - Blood ever tested for HIV virus?,.,Missing,3654
HSAQUEX,HSAQUEX - Source of Health Status Data ,1,Dietary Recall Component -- B(1-11),2443
HSAQUEX,HSAQUEX - Source of Health Status Data ,2,MEC CAPI Questionnaire -- B(12-150),6979
HSAQUEX,HSAQUEX - Source of Health Status Data ,.,Missing,0
DED031,DED031 - Skin reaction to sun after non-exposure,1,Get a severe sunburn with blisters,69
DED031,DED031 - Skin reaction to sun after non-exposure,2,A severe sunburn for a few days with peeling,302
DED031,DED031 - Skin reaction to sun after non-exposure,3,Mildly burned with some tanning,993
DED031,DED031 - Skin reaction to sun after non-exposure,4,Turning darker without a sunburn,937
DED031,DED031 - Skin reaction to sun after non-exposure,5,Nothing would happen in half an hour,1585
DED031,DED031 - Skin reaction to sun after non-exposure,6,Other,35
DED031,DED031 - Skin reaction to sun after non-exposure,77,Refused,1
DED031,DED031 - Skin reaction to sun after non-exposure,99,Don't know,5
DED031,DED031 - Skin reaction to sun after non-exposure,.,Missing,1
DEQ034A,DEQ034A - Stay in the shade?,1,Always,392
DEQ034A,DEQ034A - Stay in the shade?,2,Most of the time,986
DEQ034A,DEQ034A - Stay in the shade?,3,Sometimes,1561
DEQ034A,DEQ034A - Stay in the shade?,4,"Rarely, or",569
DEQ034A,DEQ034A - Stay in the shade?,5,Never?,372
DEQ034A,DEQ034A - Stay in the shade?,6,Don't go out in the sun,46
DEQ034A,DEQ034A - Stay in the shade?,77,Refused,0
DEQ034A,DEQ034A - Stay in the shade?,99,Don't know,1
DEQ034A,DEQ034A - Stay in the shade?,.,Missing,1
DEQ034C,DEQ034C - Wear a long sleeved shirt,1,Always,193
DEQ034C,DEQ034C - Wear a long sleeved shirt,2,Most of the time,234
DEQ034C,DEQ034C - Wear a long sleeved shirt,3,Sometimes,836
DEQ034C,DEQ034C - Wear a long sleeved shirt,4,"Rarely, or",765
DEQ034C,DEQ034C - Wear a long sleeved shirt,5,Never?,1853
DEQ034C,DEQ034C - Wear a long sleeved shirt,7,Refused,0
DEQ034C,DEQ034C - Wear a long sleeved shirt,9,Don't know,0
DEQ034C,DEQ034C - Wear a long sleeved shirt,.,Missing,47
DEQ034D,DEQ034D - Use sunscreen?,1,Always,483
DEQ034D,DEQ034D - Use sunscreen?,2,Most of the time,481
DEQ034D,DEQ034D - Use sunscreen?,3,Sometimes,760
DEQ034D,DEQ034D - Use sunscreen?,4,"Rarely, or",546
DEQ034D,DEQ034D - Use sunscreen?,5,Never?,1610
DEQ034D,DEQ034D - Use sunscreen?,7,Refused,0
DEQ034D,DEQ034D - Use sunscreen?,9,Don't know,1
DEQ034D,DEQ034D - Use sunscreen?,.,Missing,47
DEQ038G,DEQ038G - In past yr did you have sunburn?,1,Enter number,1408
DEQ038G,DEQ038G - In past yr did you have sunburn?,2,Never,2509
DEQ038G,DEQ038G - In past yr did you have sunburn?,7,Refused,0
DEQ038G,DEQ038G - In past yr did you have sunburn?,9,Don't know,10
DEQ038G,DEQ038G - In past yr did you have sunburn?,.,Missing,1
DEQ038Q,DEQ038Q - # of times in past yr you had a sunburn,1 to 15,Range of Values,1399
DEQ038Q,DEQ038Q - # of times in past yr you had a sunburn,20,20 or more times,9
DEQ038Q,DEQ038Q - # of times in past yr you had a sunburn,77777,Refused,0
DEQ038Q,DEQ038Q - # of times in past yr you had a sunburn,99999,Don't know,0
DEQ038Q,DEQ038Q - # of times in past yr you had a sunburn,.,Missing,2520
DED120,DED120 - Minutes outdoors 9am - 5pm work day,15 to 480,Range of Values,2022
DED120,DED120 - Minutes outdoors 9am - 5pm work day,0,No time spent outdoors,1264
DED120,DED120 - Minutes outdoors 9am - 5pm work day,14,1-14 minutes,81
DED120,DED120 - Minutes outdoors 9am - 5pm work day,3333,Does not work or go to school,555
DED120,DED120 - Minutes outdoors 9am - 5pm work day,7777,Refused,0
DED120,DED120 - Minutes outdoors 9am - 5pm work day,9999,Don't Know,2
DED120,DED120 - Minutes outdoors 9am - 5pm work day,.,Missing,4
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,15 to 480,Range of Values,3220
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,0,No time spent outdoors,644
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,14,1-14 minutes,47
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,3333,At work or at school 9 to 5 seven days a week,9
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,7777,Refused,0
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,9999,Don't Know,4
DED125,DED125 - Minutes outdoors 9am - 5pm not work day,.,Missing,4
DIQ010,DIQ010 - Doctor told you have diabetes,1,Yes,737
DIQ010,DIQ010 - Doctor told you have diabetes,2,No,8841
DIQ010,DIQ010 - Doctor told you have diabetes,3,Borderline,185
DIQ010,DIQ010 - Doctor told you have diabetes,7,Refused,1
DIQ010,DIQ010 - Doctor told you have diabetes,9,Don't know,5
DIQ010,DIQ010 - Doctor told you have diabetes,.,Missing,1
DID040,DID040 - Age when first told you had diabetes,1 to 79,Range of Values,719
DID040,DID040 - Age when first told you had diabetes,80,80 years or older,8
DID040,DID040 - Age when first told you had diabetes,666,Less than 1 year,2
DID040,DID040 - Age when first told you had diabetes,777,Refused,0
DID040,DID040 - Age when first told you had diabetes,999,Don't know,8
DID040,DID040 - Age when first told you had diabetes,.,Missing,9033
DBQ010,DBQ010 - Ever breastfed or fed breastmilk,1,Yes,1358
DBQ010,DBQ010 - Ever breastfed or fed breastmilk,2,No,504
DBQ010,DBQ010 - Ever breastfed or fed breastmilk,7,Refused,0
DBQ010,DBQ010 - Ever breastfed or fed breastmilk,9,Don't know,3
DBQ010,DBQ010 - Ever breastfed or fed breastmilk,.,Missing,8310
DBD030,DBD030 - Age stopped breastfeeding(days),1 to 2190,Range of Values,1186
DBD030,DBD030 - Age stopped breastfeeding(days),0,Still breastfeeding,168
DBD030,DBD030 - Age stopped breastfeeding(days),777777,Refused,0
DBD030,DBD030 - Age stopped breastfeeding(days),999999,Don't know,4
DBD030,DBD030 - Age stopped breastfeeding(days),.,Missing,8817
