short_title,title,code or value,description,count
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,0,At or above detection limit,1407
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,1,Below lower detection limit,120
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,.,Missing,797
LBX6AL,LBX6AL - Hexanaldehyde (ng/mL),0.49 to 62.1,Range of Values,1571
LBX6AL,LBX6AL - Hexanaldehyde (ng/mL),.,Missing,753
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,0,At or above detection limit,1532
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,1,Below lower detection limit,39
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,.,Missing,753
LBXI5AL,LBXI5AL - Isopentanaldehyde (ng/mL),0.13 to 4.57,Range of Values,1798
LBXI5AL,LBXI5AL - Isopentanaldehyde (ng/mL),.,Missing,526
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,0,At or above detection limit,1783
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,1,Below lower detection limit,15
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,.,Missing,526
LBX9AL,LBX9AL - Nonanaldehyde (ng/mL),1.86 to 39.8,Range of Values,1534
LBX9AL,LBX9AL - Nonanaldehyde (ng/mL),.,Missing,790
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,0,At or above detection limit,572
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,1,Below lower detection limit,962
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,.,Missing,790
LBX8AL,LBX8AL - Octanaldehyde (ng/mL),0.467 to 3.61,Range of Values,1456
LBX8AL,LBX8AL - Octanaldehyde (ng/mL),.,Missing,868
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,0,At or above detection limit,226
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,1,Below lower detection limit,1230
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,.,Missing,868
LBXTLAL,LBXTLAL - o-Tolualdehyde (ng/mL),0.1 to 2.38,Range of Values,1561
LBXTLAL,LBXTLAL - o-Tolualdehyde (ng/mL),.,Missing,763
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,0,At or above detection limit,63
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,1,Below lower detection limit,1498
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,.,Missing,763
LBX5AL,LBX5AL - Pentanaldehyde (ng/mL),0.223 to 6.61,Range of Values,1768
LBX5AL,LBX5AL - Pentanaldehyde (ng/mL),.,Missing,556
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,0,At or above detection limit,592
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,1,Below lower detection limit,1176
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,.,Missing,556
LBX3AL,LBX3AL - Propanaldehyde (ng/mL),0.82 to 8.39,Range of Values,1714
LBX3AL,LBX3AL - Propanaldehyde (ng/mL),.,Missing,610
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,0,At or above detection limit,1513
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,1,Below lower detection limit,201
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,.,Missing,610
WTALDS2Y,WTALDS2Y - Two Year Aldehyde Smoking Weights,0 to 511460.1478,Range of Values,2605
WTALDS2Y,WTALDS2Y - Two Year Aldehyde Smoking Weights,.,Missing,0
LBXBZAL,LBXBZAL - Benzaldehyde (ng/mL),0.326 to 28.2,Range of Values,1661
LBXBZAL,LBXBZAL - Benzaldehyde (ng/mL),.,Missing,944
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,0,At or above detection limit,1527
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,1,Below lower detection limit,134
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDBZLC,LBDBZLC - Benzaldehyde Comment Code,.,Missing,944
LBX4AL,LBX4AL - Butyraldehyde (ng/mL),0.221 to 16.9,Range of Values,1952
LBX4AL,LBX4AL - Butyraldehyde (ng/mL),.,Missing,653
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,0,At or above detection limit,1600
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,1,Below lower detection limit,352
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD4ALC,LBD4ALC - Butyraldehyde Comment Code,.,Missing,653
LBXCRAL,LBXCRAL - Crotonaldehyde (ng/mL),0.104 to 2.44,Range of Values,1948
LBXCRAL,LBXCRAL - Crotonaldehyde (ng/mL),.,Missing,657
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,0,At or above detection limit,711
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,1,Below lower detection limit,1237
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDCRLC,LBDCRLC - Crotonaldehyde Comment Code,.,Missing,657
LBX10AL,LBX10AL - Decanaldehyde (ng/mL),2.76 to 13.3,Range of Values,1604
LBX10AL,LBX10AL - Decanaldehyde (ng/mL),.,Missing,1001
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,0,At or above detection limit,12
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,1,Below lower detection limit,1592
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD10ALC,LBD10ALC - Decanaldehyde Comment Code,.,Missing,1001
LBX7AL,LBX7AL - Heptanaldehyde (ng/mL),0.221 to 3.83,Range of Values,1725
LBX7AL,LBX7AL - Heptanaldehyde (ng/mL),.,Missing,880
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,0,At or above detection limit,1586
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,1,Below lower detection limit,139
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD7ALC,LBD7ALC - Heptanaldehyde Comment Code,.,Missing,880
LBX6AL,LBX6AL - Hexanaldehyde (ng/mL),0.49 to 62.1,Range of Values,1751
LBX6AL,LBX6AL - Hexanaldehyde (ng/mL),.,Missing,854
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,0,At or above detection limit,1708
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,1,Below lower detection limit,43
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD6ALC,LBD6ALC - Hexanaldehyde Comment Code,.,Missing,854
LBXI5AL,LBXI5AL - Isopentanaldehyde (ng/mL),0.13 to 4.57,Range of Values,2013
LBXI5AL,LBXI5AL - Isopentanaldehyde (ng/mL),.,Missing,592
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,0,At or above detection limit,1998
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,1,Below lower detection limit,15
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDI5ALC,LBDI5ALC - Isopentanaldehyde Comment Code,.,Missing,592
LBX9AL,LBX9AL - Nonanaldehyde (ng/mL),1.86 to 39.8,Range of Values,1737
LBX9AL,LBX9AL - Nonanaldehyde (ng/mL),.,Missing,868
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,0,At or above detection limit,674
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,1,Below lower detection limit,1063
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD9ALC,LBD9ALC - Nonanaldehyde Comment Code,.,Missing,868
LBX8AL,LBX8AL - Octanaldehyde (ng/mL),0.467 to 3.61,Range of Values,1652
LBX8AL,LBX8AL - Octanaldehyde (ng/mL),.,Missing,953
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,0,At or above detection limit,255
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,1,Below lower detection limit,1397
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD8ALC,LBD8ALC - Octanaldehyde Comment Code,.,Missing,953
LBXTLAL,LBXTLAL - o-Tolualdehyde (ng/mL),0.1 to 2.38,Range of Values,1772
LBXTLAL,LBXTLAL - o-Tolualdehyde (ng/mL),.,Missing,833
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,0,At or above detection limit,69
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,1,Below lower detection limit,1703
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBDTLALC,LBDTLALC - o-Tolualdehyde Comment Code,.,Missing,833
LBX5AL,LBX5AL - Pentanaldehyde (ng/mL),0.223 to 6.61,Range of Values,1970
LBX5AL,LBX5AL - Pentanaldehyde (ng/mL),.,Missing,635
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,0,At or above detection limit,704
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,1,Below lower detection limit,1266
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD5ALC,LBD5ALC - Pentanaldehyde Comment Code,.,Missing,635
LBX3AL,LBX3AL - Propanaldehyde (ng/mL),0.82 to 17.7,Range of Values,1920
LBX3AL,LBX3AL - Propanaldehyde (ng/mL),.,Missing,685
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,0,At or above detection limit,1744
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,1,Below lower detection limit,176
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,2,Detectable result and exceeds the calibrated range of assay,0
LBD3ALC,LBD3ALC - Propanaldehyde Comment Code,.,Missing,685
SSTCAMFI,SSTCAMFI - Toxocara mean florescent intensity,-9 to 20830.5,Range of Values,6600
SSTCAMFI,SSTCAMFI - Toxocara mean florescent intensity,.,Missing,0
SSTCAR,SSTCAR - Toxocara antibody result,1,Positive,371
SSTCAR,SSTCAR - Toxocara antibody result,2,Negative,6229
SSTCAR,SSTCAR - Toxocara antibody result,.,Missing,0
WTSAF2YR,WTSAF2YR - Fasting Subsample 2 Year MEC Weight,12937.987305 to 395978.46579,Range of Values,2927
WTSAF2YR,WTSAF2YR - Fasting Subsample 2 Year MEC Weight,0,No Lab Result,402
WTSAF2YR,WTSAF2YR - Fasting Subsample 2 Year MEC Weight,.,Missing,0
LBXAPB,LBXAPB - Apolipoprotein (B) (mg/dL),20 to 234,Range of Values,3145
LBXAPB,LBXAPB - Apolipoprotein (B) (mg/dL),.,Missing,184
LBDAPBSI,LBDAPBSI - Apolipoprotein (B) (g/L),0.2 to 2.34,Range of Values,3145
LBDAPBSI,LBDAPBSI - Apolipoprotein (B) (g/L),.,Missing,184
WTSA2YR,WTSA2YR - Subsample A Weights,16284.37488 to 530325.34726,Range of Values,2724
WTSA2YR,WTSA2YR - Subsample A Weights,0,No Lab samples,31
WTSA2YR,WTSA2YR - Subsample A Weights,.,Missing,0
URXUAS,"URXUAS - Urinary arsenic, total (ug/L)",0.28 to 1071.3,Range of Values,2662
URXUAS,"URXUAS - Urinary arsenic, total (ug/L)",.,Missing,93
URXUCR,URXUCR - Urinary creatinine ,5 to 546,Range of Values,2681
URXUCR,URXUCR - Urinary creatinine ,.,Missing,74
WTFSM ,WTFSM  - Smoking weights,6426.9076775 to 456840.9815,Range of Values,2546
WTFSM ,WTFSM  - Smoking weights,0,No Lab Result,59
WTFSM ,WTFSM  - Smoking weights,.,Missing,0
URXUAS,"URXUAS - Urinary arsenic, total (ug/L)",0.28 to 903.84,Range of Values,2525
URXUAS,"URXUAS - Urinary arsenic, total (ug/L)",.,Missing,80
URXUCR ,URXUCR  - Urinary creatinine,5 to 546,Range of Values,2551
URXUCR ,URXUCR  - Urinary creatinine,.,Missing,54
WTSA2YR,WTSA2YR - Subsample A weights,16284.37488 to 530325.34726,Range of Values,2724
WTSA2YR,WTSA2YR - Subsample A weights,0,No Lab samples,31
WTSA2YR,WTSA2YR - Subsample A weights,.,Missing,0
URXUCR  ,"URXUCR   - Creatinine, urine (mg/dL)",5 to 546,Range of Values,2681
URXUCR  ,"URXUCR   - Creatinine, urine (mg/dL)",.,Missing,74
URXUAS3 ,URXUAS3  - Urinary Arsenous acid (ug/L),0.08 to 6.71,Range of Values,2654
URXUAS3 ,URXUAS3  - Urinary Arsenous acid (ug/L),.,Missing,101
URDUA3LC,URDUA3LC - Urinary Arsenous acid comment code,0,At or above the detection limit,1920
URDUA3LC,URDUA3LC - Urinary Arsenous acid comment code,1,Below lower detection limit,734
URDUA3LC,URDUA3LC - Urinary Arsenous acid comment code,.,Missing,101
URXUAS5 ,URXUAS5  - Urinary Arsenic acid (ug/L),0.56 to 8.02,Range of Values,2654
URXUAS5 ,URXUAS5  - Urinary Arsenic acid (ug/L),.,Missing,101
URDUA5LC,URDUA5LC - Urinary Arsenic acid comment code,0,At or above the detection limit,44
URDUA5LC,URDUA5LC - Urinary Arsenic acid comment code,1,Below lower detection limit,2610
URDUA5LC,URDUA5LC - Urinary Arsenic acid comment code,.,Missing,101
URXUAB  ,URXUAB   - Urinary Arsenobetaine (ug/L),0.82 to 997,Range of Values,2654
URXUAB  ,URXUAB   - Urinary Arsenobetaine (ug/L),.,Missing,101
URDUABLC,URDUABLC - Urinary Arsenobetaine comment code,0,At or above the detection limit,1175
URDUABLC,URDUABLC - Urinary Arsenobetaine comment code,1,Below lower detection limit,1479
URDUABLC,URDUABLC - Urinary Arsenobetaine comment code,.,Missing,101
URXUAC  ,URXUAC   - Urinary Arsenocholine (ug/L),0.08 to 31.8,Range of Values,2654
URXUAC  ,URXUAC   - Urinary Arsenocholine (ug/L),.,Missing,101
URDUACLC,URDUACLC - Urinary Arsenocholine comment code,0,At or above the detection limit,426
URDUACLC,URDUACLC - Urinary Arsenocholine comment code,1,Below lower detection limit,2228
URDUACLC,URDUACLC - Urinary Arsenocholine comment code,.,Missing,101
URXUDMA ,URXUDMA  - Urinary Dimethylarsinic acid (ug/L),1.35 to 84.7,Range of Values,2654
URXUDMA ,URXUDMA  - Urinary Dimethylarsinic acid (ug/L),.,Missing,101
URDUDALC,URDUDALC - Urinary Dimethylarsinic acid comment cod,0,At or above the detection limlt,2026
URDUDALC,URDUDALC - Urinary Dimethylarsinic acid comment cod,1,Below lower detection limit,628
URDUDALC,URDUDALC - Urinary Dimethylarsinic acid comment cod,.,Missing,101
URXUMMA ,URXUMMA  - Urinary Monomethylacrsonic acid (ug/L),0.14 to 17,Range of Values,2654
URXUMMA ,URXUMMA  - Urinary Monomethylacrsonic acid (ug/L),.,Missing,101
URDUMMAL,URDUMMAL - Urinary MMA acid comment code,0,At or above the detection limit,1870
URDUMMAL,URDUMMAL - Urinary MMA acid comment code,1,below lower detection limit,784
URDUMMAL,URDUMMAL - Urinary MMA acid comment code,.,Missing,101
WTFSM,WTFSM - Two year smoking weights,6426.907677 to 456840.9815,Range of Values,2546
WTFSM,WTFSM - Two year smoking weights,0,No Lab Result,59
WTFSM,WTFSM - Two year smoking weights,.,Missing,0
URXUCR,URXUCR - Urinary creatinine (mg/dL),5 to 546,Range of Values,2551
URXUCR,URXUCR - Urinary creatinine (mg/dL),.,Missing,54
URXUAS3 ,URXUAS3  - Urinary Arsenous acid (ug/L),0.08 to 6.71,Range of Values,2521
URXUAS3 ,URXUAS3  - Urinary Arsenous acid (ug/L),.,Missing,84
URDUA3LC,URDUA3LC - Urinary Arsenous acid comment code,0,At or above the detection limit,1759
URDUA3LC,URDUA3LC - Urinary Arsenous acid comment code,1,Below lower detection limit,762
URDUA3LC,URDUA3LC - Urinary Arsenous acid comment code,.,Missing,84
URXUAS5 ,URXUAS5  - Urinary Arsenic acid (ug/L),0.56 to 8.02,Range of Values,2521
URXUAS5 ,URXUAS5  - Urinary Arsenic acid (ug/L),.,Missing,84
URDUA5LC,URDUA5LC - Urinary Arsenic acid comment code,0,At or above the detection limit,46
URDUA5LC,URDUA5LC - Urinary Arsenic acid comment code,1,Below lower detection limit,2475
URDUA5LC,URDUA5LC - Urinary Arsenic acid comment code,.,Missing,84
URXUAB  ,URXUAB   - Urinary Arsenobetaine (ug/L),0.82 to 970,Range of Values,2521
URXUAB  ,URXUAB   - Urinary Arsenobetaine (ug/L),.,Missing,84
URDUABLC,URDUABLC - Urinary Arsenobetaine comment code,0,At or above the detection limit,1190
URDUABLC,URDUABLC - Urinary Arsenobetaine comment code,1,Below lower detection limit,1331
URDUABLC,URDUABLC - Urinary Arsenobetaine comment code,.,Missing,84
URXUAC  ,URXUAC   - Urinary Arsenocholine (ug/L),0.08 to 19.23,Range of Values,2521
URXUAC  ,URXUAC   - Urinary Arsenocholine (ug/L),.,Missing,84
URDUACLC,URDUACLC - Urinary Arsenocholine comment code,0,At or above the detection limit,419
URDUACLC,URDUACLC - Urinary Arsenocholine comment code,1,Below lower detection limit,2102
URDUACLC,URDUACLC - Urinary Arsenocholine comment code,.,Missing,84
URXUDMA ,URXUDMA  - Urinary Dimethylarsinic acid (ug/L),1.35 to 84.7,Range of Values,2521
URXUDMA ,URXUDMA  - Urinary Dimethylarsinic acid (ug/L),.,Missing,84
URDUDALC,URDUDALC - Urinary Dimethylarsinic acid comment cod,0,At or above the detection limit,1866
URDUDALC,URDUDALC - Urinary Dimethylarsinic acid comment cod,1,Below lower detection limit,655
URDUDALC,URDUDALC - Urinary Dimethylarsinic acid comment cod,.,Missing,84
URXUMMA ,URXUMMA  - Urinary Monomethylacrsonic acid (ug/L),0.14 to 17,Range of Values,2521
URXUMMA ,URXUMMA  - Urinary Monomethylacrsonic acid (ug/L),.,Missing,84
URDUMMAL,URDUMMAL - Urinary MMA acid comment code,0,At or above the detection limit,1783
URDUMMAL,URDUMMAL - Urinary MMA acid comment code,1,Below lower detection limit,738
URDUMMAL,URDUMMAL - Urinary MMA acid comment code,.,Missing,84
WTSH2YR,WTSH2YR - Blood metal weights,4533.45942 to 322113.58855,Range of Values,5766
WTSH2YR,WTSH2YR - Blood metal weights,0,Participants 12+ years with no lab specimen,166
WTSH2YR,WTSH2YR - Blood metal weights,.,Missing,0
LBXBPB,LBXBPB - Blood lead (ug/dL),0.07 to 34.11,Range of Values,5215
LBXBPB,LBXBPB - Blood lead (ug/dL),.,Missing,717
LBDBPBSI,LBDBPBSI - Blood lead (umol/L),0.003 to 1.648,Range of Values,5215
LBDBPBSI,LBDBPBSI - Blood lead (umol/L),.,Missing,717
LBDBPBLC,LBDBPBLC - Blood lead comment code,0,At or above the detection limit,5215
LBDBPBLC,LBDBPBLC - Blood lead comment code,1,Below lower detection limit,0
LBDBPBLC,LBDBPBLC - Blood lead comment code,.,Missing,717
LBXBCD,LBXBCD - Blood cadmium (ug/L),0.07 to 7.23,Range of Values,5215
LBXBCD,LBXBCD - Blood cadmium (ug/L),.,Missing,717
LBDBCDSI,LBDBCDSI - Blood cadmium (umol/L),0.62 to 64.33,Range of Values,5215
LBDBCDSI,LBDBCDSI - Blood cadmium (umol/L),.,Missing,717
LBDBCDLC,LBDBCDLC - Blood cadmium comment code,0,At or above the detection limit,3703
LBDBCDLC,LBDBCDLC - Blood cadmium comment code,1,Below lower detection limit,1512
LBDBCDLC,LBDBCDLC - Blood cadmium comment code,.,Missing,717
LBXTHG,"LBXTHG - Blood mercury, total (ug/L) ",0.2 to 46.39,Range of Values,5215
LBXTHG,"LBXTHG - Blood mercury, total (ug/L) ",.,Missing,717
LBDTHGSI,"LBDTHGSI - Blood mercury, total (umol/L)",1 to 231.5,Range of Values,5215
LBDTHGSI,"LBDTHGSI - Blood mercury, total (umol/L)",.,Missing,717
LBDTHGLC,"LBDTHGLC - Blood mercury, total comment 
code",0,At or above the detection limit,3876
LBDTHGLC,"LBDTHGLC - Blood mercury, total comment 
code",1,Below lower detection limit,1339
LBDTHGLC,"LBDTHGLC - Blood mercury, total comment 
code",.,Missing,717
LBXBSE,LBXBSE - Blood selenium (ug/L),86.09 to 734.8,Range of Values,5215
LBXBSE,LBXBSE - Blood selenium (ug/L),.,Missing,717
LBDBSESI,LBDBSESI - Blood selenium (umol/L),1.09 to 9.33,Range of Values,5215
LBDBSESI,LBDBSESI - Blood selenium (umol/L),.,Missing,717
LBDBSELC,LBDBSELC - Blood selenium comment code,0,At or above the detection limit,5215
LBDBSELC,LBDBSELC - Blood selenium comment code,1,Below lower detection limit,0
LBDBSELC,LBDBSELC - Blood selenium comment code,.,Missing,717
LBXBMN,LBXBMN - Blood manganese (ug/L),1.75 to 54.92,Range of Values,5215
LBXBMN,LBXBMN - Blood manganese (ug/L),.,Missing,717
LBDBMNSI,LBDBMNSI - Blood manganese (umol/L),31.85 to 999.54,Range of Values,5215
LBDBMNSI,LBDBMNSI - Blood manganese (umol/L),.,Missing,717
LBDBMNLC,LBDBMNLC - Blood manganese comment code,0,At or above the detection limit,5215
LBDBMNLC,LBDBMNLC - Blood manganese comment code,1,Below lower detection limit,0
LBDBMNLC,LBDBMNLC - Blood manganese comment code,.,Missing,717
WTSH2YR,WTSH2YR - Blood metal weights,4533.45942 to 322113.58855,Range of Values,5766
WTSH2YR,WTSH2YR - Blood metal weights,0,Participants 12+ years with no lab specimen,166
WTSH2YR,WTSH2YR - Blood metal weights,.,Missing,0
LBXIHG,"LBXIHG - Mercury, inorganic (ug/L)",0.19 to 13,Range of Values,5175
LBXIHG,"LBXIHG - Mercury, inorganic (ug/L)",.,Missing,757
LBDIHGSI,"LBDIHGSI - Mercury, inorganic (umol/L )",0.95 to 64.87,Range of Values,5175
LBDIHGSI,"LBDIHGSI - Mercury, inorganic (umol/L )",.,Missing,757
LBDIHGLC,"LBDIHGLC - Mercury, inorganic  comment 
code",0,At or above the detection limit,900
LBDIHGLC,"LBDIHGLC - Mercury, inorganic  comment 
code",1,Below lower detection limit,4275
LBDIHGLC,"LBDIHGLC - Mercury, inorganic  comment 
code",.,Missing,757
LBXBGE,"LBXBGE - Mercury, ethyl (ug/L)",0.11 to 0.66,Range of Values,5175
LBXBGE,"LBXBGE - Mercury, ethyl (ug/L)",.,Missing,757
LBDBGELC,"LBDBGELC - Mercury, ethyl comment code",0,At or above the detection limit,43
LBDBGELC,"LBDBGELC - Mercury, ethyl comment code",1,Below lower detection limit,5132
LBDBGELC,"LBDBGELC - Mercury, ethyl comment code",.,Missing,757
LBXBGM,"LBXBGM - Mercury, methyl (ug/L)",0.08 to 47.15,Range of Values,5175
LBXBGM,"LBXBGM - Mercury, methyl (ug/L)",.,Missing,757
LBDBGMLC,"LBDBGMLC - Mercury, methyl comment code",0,At or above the detection limit,3855
LBDBGMLC,"LBDBGMLC - Mercury, methyl comment code",1,Below lower detection limit,1320
LBDBGMLC,"LBDBGMLC - Mercury, methyl comment code",.,Missing,757
RIDRETH3,RIDRETH3 - Race/Hispanic Origin,1,Mexican American,44
RIDRETH3,RIDRETH3 - Race/Hispanic Origin,2,Other Hispanic,28
RIDRETH3,RIDRETH3 - Race/Hispanic Origin,3,Non-Hispanic White,110
RIDRETH3,RIDRETH3 - Race/Hispanic Origin,4,Non-Hispanic Black,59
RIDRETH3,RIDRETH3 - Race/Hispanic Origin,6,Non-Hispanic Asian,32
RIDRETH3,RIDRETH3 - Race/Hispanic Origin,7,"Other Race, Including Multiracial",11
